Date,y,close_kospi,dubai,close_diff,hybb,keyword
2023-05-12,1329.880005,2475.42,73.54,-1.3360000000000003,3.16,19.7815
2023-05-15,1341.52002,2479.35,73.33,-1.286,3.17,23.40899
2023-05-16,1335.400024,2480.24,74.6,-1.3690000000000002,3.20,21.17098
2023-05-16,1335.400024,2480.24,74.6,-1.3690000000000002,3.2,21.17098
2023-05-17,1342.430054,2494.66,73.18,-1.354,3.14,21.13915
2023-05-18,1334.150024,2515.4,75.37,-1.37,3.09,22.46499
2023-05-19,1334.73999,2537.79,74.99,-1.3370000000000002,3.03,22.09376
2023-05-22,1324.209961,2557.08,74.47,-1.3519999999999999,2.96,36.62494
2023-05-23,1313.829956,2567.55,74.9,-1.3939999999999997,3.00,39.4145
2023-05-23,1313.829956,2567.55,74.9,-1.3939999999999997,3,39.4145
2023-05-24,1319.839966,2567.45,76.64,-1.3859999999999997,3.07,22.43317
2023-05-25,1318.52002,2554.69,76.72,-1.4129999999999998,2.99,21.12855
2023-05-26,1330.890015,2558.81,75.33,-1.4679999999999995,2.95,17.51166
2023-05-29,1322.430054,2558.81,76.23,-1.5190000000000006,2.95,11.15825
2023-05-30,1324.589966,2585.52,74.95,-1.556,3.00,24.34238
2023-05-30,1324.589966,2585.52,74.95,-1.556,3,24.34238
2023-05-31,1319.790039,2577.12,72.25,-1.5540000000000003,3.1,21.90284
2023-05-31,1319.790039,2577.12,72.25,-1.5540000000000003,3.10,21.90284
2023-06-01,1321.73999,2569.17,71.66,-1.5410000000000004,3.06,19.12388
2023-06-02,1312.849976,2601.36,71.66,-1.552,2.81,31.1731
2023-06-05,1305.140015,2615.41,76.41,-1.5250000000000004,2.84,26.36826
2023-06-06,1299.790039,2615.41,74.31,-1.5530000000000004,2.85,15.28425
2023-06-07,1299.199951,2615.6,75.22,-1.3949999999999996,2.81,38.69325
2023-06-08,1308.339966,2610.85,76.16,-1.439,2.88,21.72252
2023-06-09,1296.329956,2641.16,75.22,-1.4570000000000003,2.79,42.67076
2023-06-12,1286.689941,2629.35,72.38,-1.4780000000000002,2.85,43.11624
2023-06-13,1284.579956,2637.95,71.97,-1.423,2.72,74.19389
2023-06-14,1267.619995,2619.08,74.61,-1.4809999999999999,2.73,53.61688
2023-06-15,1273.98999,2608.54,73.34,-1.501,2.76,38.65082
2023-06-16,1270.050049,2625.79,75.44,-1.4650000000000003,2.7,30.09121
2023-06-16,1270.050049,2625.79,75.44,-1.4650000000000003,2.70,30.09121
2023-06-19,1276.310059,2609.5,76.3,-1.463,2.7,28.77598
2023-06-19,1276.310059,2609.5,76.3,-1.463,2.70,28.77598
2023-06-20,1283.23999,2604.91,77.44,-1.5210000000000004,2.77,22.86805
2023-06-21,1287.540039,2582.63,76.96,-1.5340000000000003,2.85,28.43657
2023-06-22,1288.380005,2593.7,77.44,-1.5020000000000002,2.82,24.97878
2023-06-23,1298.209961,2570.1,74.07,-1.5190000000000001,2.91,32.03224
2023-06-26,1307.670044,2582.2,74.49,-1.5490000000000004,2.95,22.82562
2023-06-27,1302.660034,2581.39,75.48,-1.56,2.81,22.13619
2023-06-28,1296.599976,2564.19,74.24,-1.6279999999999997,2.8,24.83029
2023-06-28,1296.599976,2564.19,74.24,-1.6279999999999997,2.80,24.83029
2023-06-29,1309.01001,2550.02,74.24,-1.5879999999999996,2.69,30.8655
2023-06-30,1323.069946,2564.28,76.63,-1.5699999999999994,2.64,28.54263
2023-07-03,1315.300049,2602.47,75.21,-1.5820000000000003,2.59,25.30759
2023-07-04,1306.099976,2593.31,75.2,-1.5989999999999998,2.59,25.86974
2023-07-05,1295.5,2579.0,75.44,-1.484,2.61,21.94526
2023-07-06,1302.969971,2556.29,77.29,-1.4190000000000005,2.69,15.9949
2023-07-07,1309.219971,2526.71,77.86,-1.3580000000000005,2.66,14.06448
2023-07-10,1297.369995,2520.7,78.28,-1.4100000000000001,2.71,15.85702
2023-07-11,1299.540039,2562.49,78.79,-1.4359999999999995,2.64,23.55748
2023-07-12,1291.51001,2574.72,79.91,-1.4839999999999995,2.54,26.69707
2023-07-13,1274.699951,2591.23,81.09,-1.5059999999999998,2.58,46.27704
2023-07-14,1266.829956,2628.3,81.97,-1.4989999999999997,2.52,45.98005
2023-07-17,1268.339966,2619.0,79.47,-1.5169999999999995,2.56,35.15061
2023-07-18,1265.449951,2607.62,79.59,-1.533,2.5,39.36147
2023-07-18,1265.449951,2607.62,79.59,-1.533,2.50,39.36147
2023-07-19,1264.939941,2608.24,80.99,-1.5739999999999998,2.5,25.72125
2023-07-19,1264.939941,2608.24,80.99,-1.5739999999999998,2.50,25.72125
2023-07-20,1265.089966,2600.23,81.04,-1.4930000000000003,2.52,22.24225
2023-07-21,1278.400024,2609.76,81.77,-1.5129999999999995,2.51,24.36359
2023-07-24,1285.650024,2628.53,82.52,-1.5069999999999997,2.45,20.85277
2023-07-25,1280.530029,2636.46,84.25,-1.5189999999999997,2.48,19.01781
2023-07-26,1274.119995,2592.36,84.29,-1.5110000000000001,2.54,17.82986
2023-07-27,1275.170044,2603.81,84.09,-1.4000000000000004,2.42,31.28977
2023-07-28,1283.880005,2608.32,84.71,-1.4299999999999997,2.47,24.73483
2023-07-31,1272.390015,2632.58,85.64,-1.4250000000000003,2.45,26.23037
2023-08-01,1277.930054,2667.07,85.85,-1.362,2.47,23.5787
2023-08-02,1289.050049,2616.47,86.29,-1.2919999999999998,2.58,35.2885
2023-08-03,1295.369995,2605.39,83.97,-1.2109999999999994,2.6,32.9126
2023-08-03,1295.369995,2605.39,83.97,-1.2109999999999994,2.60,32.9126
2023-08-04,1296.400024,2602.8,87.11,-1.3050000000000006,2.64,32.9232
2023-08-07,1303.050049,2580.71,87.73,-1.2439999999999998,2.61,29.01994
2023-08-08,1307.75,2573.98,87.09,-1.3040000000000003,2.66,47.83623
2023-08-09,1316.670044,2605.12,87.09,-1.3369999999999997,2.61,38.70386
2023-08-10,1313.640015,2601.56,89.03,-1.229,2.5,25.90156
2023-08-10,1313.640015,2601.56,89.03,-1.229,2.50,25.90156
2023-08-11,1318.329956,2591.26,87.86,-1.1979999999999995,2.51,38.04624
2023-08-14,1329.609985,2570.87,87.61,-1.1770000000000005,2.5,41.79041
2023-08-14,1329.609985,2570.87,87.61,-1.1770000000000005,2.50,41.79041
2023-08-15,1334.73999,2570.87,87.14,-1.1499999999999995,2.55,26.99406
2023-08-16,1338.73999,2525.64,86.04,-1.1189999999999998,2.51,49.13025
2023-08-17,1343.329956,2519.85,84.94,-1.0890000000000004,2.64,49.32117
2023-08-18,1339.079956,2504.5,85.41,-1.101,2.7,32.73228
2023-08-18,1339.079956,2504.5,85.41,-1.101,2.70,32.73228
2023-08-21,1339.170044,2508.8,86.93,-1.037,2.66,36.62494
2023-08-22,1339.73999,2515.74,85.74,-1.0659999999999998,2.62,31.38523
2023-08-23,1339.689941,2505.5,85.34,-1.1680000000000001,2.62,28.58506
2023-08-24,1327.780029,2537.68,85.09,-1.1640000000000006,2.61,39.78574
2023-08-25,1326.619995,2519.14,86.17,-1.2160000000000002,2.6,25.36062
2023-08-25,1326.619995,2519.14,86.17,-1.2160000000000002,2.60,25.36062
2023-08-28,1323.609985,2543.41,86.29,-1.2539999999999996,2.57,20.16334
2023-08-29,1322.819946,2552.16,86.09,-1.2770000000000001,2.59,17.26771
2023-08-30,1321.069946,2561.22,86.78,-1.2919999999999998,2.52,17.49045
2023-08-31,1323.030029,2556.27,87.53,-1.2809999999999997,2.56,15.22061
2023-09-01,1324.640015,2563.71,87.53,-1.1979999999999995,2.51,16.71616
2023-09-04,1317.459961,2584.55,89.47,-1.1899999999999995,2.52,17.37378
2023-09-05,1317.949951,2582.18,89.2,-1.173,2.54,21.59524
2023-09-06,1331.72998,2563.34,90.58,-1.1449999999999996,2.56,17.69198
2023-09-07,1333.459961,2548.26,91.49,-1.1580000000000004,2.6,18.48748
2023-09-07,1333.459961,2548.26,91.49,-1.1580000000000004,2.60,18.48748
2023-09-08,1334.02002,2547.68,91.08,-1.1509999999999998,2.56,14.47815
2023-09-11,1335.319946,2556.88,91.59,-1.1220000000000008,2.54,16.94951
2023-09-12,1320.439941,2536.58,92.34,-1.141,2.56,15.44336
2023-09-13,1324.099976,2534.7,93.89,-1.1640000000000006,2.58,13.13109
2023-09-14,1329.77002,2572.89,93.84,-1.1370000000000005,2.52,13.31141
2023-09-15,1327.060059,2601.28,95.56,-1.096,2.55,11.75222
2023-09-18,1328.420044,2574.72,95.2,-1.1450000000000005,2.58,15.34789
2023-09-19,1329.660034,2559.21,95.19,-1.085,2.58,15.72974
2023-09-20,1328.530029,2559.74,93.85,-1.0670000000000002,2.54,11.7204
2023-09-21,1332.339966,2514.97,93.23,-0.9710000000000001,2.63,20.54518
2023-09-22,1341.170044,2508.13,94.27,-1.0230000000000006,2.67,13.62961
2023-09-25,1334.660034,2495.76,94.09,-0.9350000000000005,2.69,13.66143
2023-09-26,1338.449951,2462.97,92.83,-0.9260000000000002,2.76,23.56809
2023-09-27,1353.75,2465.07,94.46,-0.8950000000000005,2.73,19.74968
2023-09-28,1352.819946,2465.07,96.75,-0.899,2.80,8.52778
2023-09-28,1352.819946,2465.07,96.75,-0.899,2.8,8.52778
2023-09-29,1347.849976,2465.07,96.1,-0.891,2.74,5.55791
2023-10-02,1351.939941,2465.07,93.12,-0.8230000000000004,2.81,8.5596
2023-10-03,1354.189941,2465.07,91.09,-0.702,2.92,13.38565
2023-10-04,1359.219971,2405.69,90.66,-0.6869999999999994,3.02,28.77598
2023-10-05,1351.160034,2403.6,86.29,-0.6669999999999998,3.03,20.56639
2023-10-06,1346.060059,2408.73,84.83,-0.6319999999999997,2.97,15.8358
2023-10-09,1343.359985,2408.73,87.05,-0.8239999999999998,2.97,10.4582
2023-10-10,1346.890015,2402.58,88.49,-0.7039999999999997,2.91,19.80271
2023-10-11,1341.890015,2450.08,88.2,-0.8239999999999998,2.9,20.98005
2023-10-11,1341.890015,2450.08,88.2,-0.8239999999999998,2.90,20.98005
2023-10-12,1338.26001,2479.82,87.27,-0.7290000000000001,2.89,16.54645
2023-10-13,1348.339966,2456.15,88.88,-0.7910000000000004,2.93,14.50997
2023-10-16,1352.069946,2436.24,91.13,-0.7229999999999999,2.92,16.44039
2023-10-17,1347.76001,2460.17,90.78,-0.6499999999999995,2.88,15.30547
2023-10-18,1352.98999,2462.6,92.48,-0.5600000000000005,2.94,13.73568
2023-10-19,1354.560059,2415.8,91.19,-0.45899999999999963,2.98,19.64361
2023-10-20,1356.22998,2375.0,93.44,-0.5060000000000002,3.11,14.73271
2023-10-23,1349.339966,2357.02,92.34,-0.577,3.1,12.38862
2023-10-23,1349.339966,2357.02,92.34,-0.577,3.10,12.38862
2023-10-24,1334.439941,2383.51,90.49,-0.6210000000000004,3.00,15.26304
2023-10-24,1334.439941,2383.51,90.49,-0.6210000000000004,3,15.26304
2023-10-25,1343.640015,2363.17,89.03,-0.49299999999999944,2.96,11.28553
2023-10-26,1352.680054,2299.08,90.11,-0.5679999999999996,3.06,15.44336
2023-10-27,1350.339966,2302.81,89.72,-0.5710000000000006,3.08,11.29613
2023-10-30,1355.219971,2310.55,89.85,-0.5430000000000001,3.03,12.8235
2023-10-31,1348.069946,2277.99,88.05,-0.5350000000000001,2.92,13.20534
