Date,keyword
2018-09-16,1.84556
2018-09-17,10.96733
2018-09-18,7.62621
2018-09-19,4.41238
2018-09-20,7.42469
2018-09-21,6.35341
2018-09-22,1.13491
2018-09-23,0.9546
2018-09-24,0.92278
2018-09-25,1.24098
2018-09-26,2.19558
2018-09-27,13.72507
2018-09-28,10.00212
2018-09-29,2.33347
2018-09-30,2.6941
2018-10-01,19.67543
2018-10-02,7.41408
2018-10-03,2.94866
2018-10-04,12.07042
2018-10-05,10.6067
2018-10-06,2.34408
2018-10-07,2.2274
2018-10-08,13.74628
2018-10-09,5.48366
2018-10-10,7.74289
2018-10-11,11.78404
2018-10-12,6.03521
2018-10-13,1.31523
2018-10-14,1.64403
2018-10-15,4.81544
2018-10-16,6.92617
2018-10-17,4.32753
2018-10-18,5.8655
2018-10-19,8.2414
2018-10-20,2.0683
2018-10-21,1.2728
2018-10-22,10.73398
2018-10-23,6.0246
2018-10-24,5.16546
2018-10-25,6.09885
2018-10-26,7.62621
2018-10-27,2.47136
2018-10-28,2.6941
2018-10-29,13.31141
2018-10-30,10.11879
2018-10-31,5.02757
2018-11-01,5.2291
2018-11-02,11.82647
2018-11-03,3.55324
2018-11-04,3.35171
2018-11-05,11.19007
2018-11-06,6.3428
2018-11-07,7.2868
2018-11-08,8.44293
2018-11-09,5.97157
2018-11-10,1.47433
2018-11-11,1.73949
2018-11-12,11.79465
2018-11-13,10.80823
2018-11-14,6.1837
2018-11-15,5.5473
2018-11-16,3.72295
2018-11-17,0.99703
2018-11-18,1.31523
2018-11-19,7.67925
2018-11-20,4.34874
2018-11-21,3.91387
2018-11-22,3.34111
2018-11-23,2.90623
2018-11-24,1.01824
2018-11-25,1.1137
2018-11-26,3.99872
2018-11-27,4.39117
2018-11-28,3.77598
2018-11-29,11.61434
2018-11-30,11.54009
2018-12-01,1.21977
2018-12-02,2.00466
2018-12-03,19.22995
2018-12-04,12.25074
2018-12-05,6.73525
2018-12-06,5.60033
2018-12-07,3.81841
2018-12-08,1.55918
2018-12-09,1.67585
2018-12-10,5.39881
2018-12-11,6.03521
2018-12-12,3.86084
2018-12-13,3.46839
2018-12-14,3.73355
2018-12-15,1.33644
2018-12-16,1.50615
2018-12-17,5.69579
2018-12-18,4.13661
2018-12-19,4.92151
2018-12-20,5.66397
2018-12-21,3.98812
2018-12-22,1.34705
2018-12-23,1.1137
2018-12-24,6.09885
2018-12-25,2.82138
2018-12-26,5.51548
2018-12-27,4.50784
2018-12-28,9.40814
2018-12-29,1.42129
2018-12-30,1.1137
2018-12-31,5.40941
2019-01-01,1.58039
2019-01-02,6.63979
2019-01-03,5.66397
2019-01-04,3.45778
2019-01-05,1.26219
2019-01-06,1.25159
2019-01-07,6.661
2019-01-08,3.93508
2019-01-09,2.99109
2019-01-10,3.26686
2019-01-11,7.43529
2019-01-12,1.08188
2019-01-13,1.55918
2019-01-14,4.83665
2019-01-15,6.63979
2019-01-16,5.95036
